CODE,DISPLAY,VERSION
C09.8,Overlapping lesion of tonsil,ICDO3_Topography
"C09.9,""Tonsil, NOS"",ICDO3_Topography"
C09.9,Faucial tonsil,ICDO3_Topography
C09.9,Palatine tonsil,ICDO3_Topography
C10,OROPHARYNX,ICDO3_Topography
C10.0,Vallecula,ICDO3_Topography
C10.1,Anterior surface of epiglottis,ICDO3_Topography
C10.2,Lateral wall of oropharynx,ICDO3_Topography
C10.2,Lateral wall of mesopharynx,ICDO3_Topography
C10.3,Posterior wall of oropharynx,ICDO3_Topography
C10.3,Posterior wall of mesopharynx,ICDO3_Topography
C10.4,Branchial cleft,ICDO3_Topography
C10.8,Overlapping lesion of oropharynx,ICDO3_Topography
C10.8,Junctional region of oropharynx,ICDO3_Topography
"C10.9,""Oropharynx, NOS"",ICDO3_Topography"
"C10.9,""Mesopharynx, NOS"",ICDO3_Topography"
"C10.9,""Fauces, NOS"",ICDO3_Topography"
C11,NASOPHARYNX,ICDO3_Topography
C11.0,Superior wall of nasopharynx,ICDO3_Topography
C11.0,Roof of nasopharynx,ICDO3_Topography
C11.1,Posterior wall of nasopharynx,ICDO3_Topography
C11.1,Adenoid,ICDO3_Topography
C11.1,Pharyngeal tonsil,ICDO3_Topography
C11.2,Lateral wall of nasopharynx,ICDO3_Topography
C11.2,Fossa of Rosenmuller,ICDO3_Topography
C11.3,Anterior wall of nasopharynx,ICDO3_Topography
C11.3,Nasopharyngeal surface of soft palate,ICDO3_Topography
C11.3,Pharyngeal fornix,ICDO3_Topography
C11.3,Choana,ICDO3_Topography
C11.3,Posterior margin of nasal septum,ICDO3_Topography
C11.8,Overlapping lesion of nasopharynx,ICDO3_Topography
"C11.9,""Nasopharynx, NOS"",ICDO3_Topography"
C11.9,Nasopharyngeal wall,ICDO3_Topography
C12,PYRIFORM SINUS,ICDO3_Topography
C12.9,Pyriform sinus,ICDO3_Topography
C12.9,Piriform sinus,ICDO3_Topography
C12.9,Pyriform fossa,ICDO3_Topography
C12.9,Piriform fossa,ICDO3_Topography
C13,HYPOPHARYNX,ICDO3_Topography
C13.0,Postcricoid region,ICDO3_Topography
C13.0,Cricopharynx,ICDO3_Topography
"C13.0,""Cricoid, NOS"",ICDO3_Topography"
C13.1,Hypopharyngeal aspect of aryepiglottic fold,ICDO3_Topography
"C13.1,""Aryepiglottic fold, NOS"",ICDO3_Topography"
C13.1,Arytenoid fold,ICDO3_Topography
C13.2,Posterior wall of hypopharynx,ICDO3_Topography
C13.8,Overlapping lesion of hypopharynx,ICDO3_Topography
"C13.9,""Hypopharynx, NOS"",ICDO3_Topography"
C13.9,Hypopharyngeal wall,ICDO3_Topography
C13.9,Laryngopharynx,ICDO3_Topography
"C14,""OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX"",ICDO3_Topography"
"C14.0,""Pharynx, NOS"",ICDO3_Topography"
"C14.0,""Pharyngeal wall, NOS"",ICDO3_Topography"
"C14.0,""Wall of pharynx, NOS"",ICDO3_Topography"
"C14.0,""Lateral wall of pharynx, NOS"",ICDO3_Topography"
"C14.0,""Posterior wall of pharynx, NOS"",ICDO3_Topography"
C14.0,Retropharynx,ICDO3_Topography
C14.0,Throat,ICDO3_Topography
C14.2,Waldeyer ring,ICDO3_Topography
"C14.8,""Overlapping lesion of lip, oral cavity and pharynx"",ICDO3_Topography"
C15,ESOPHAGUS,ICDO3_Topography
C15.0,Cervical esophagus,ICDO3_Topography
C15.1,Thoracic esophagus,ICDO3_Topography
C15.2,Abdominal esophagus,ICDO3_Topography
C15.3,Upper third of esophagus,ICDO3_Topography
C15.3,Proximal third of esophagus,ICDO3_Topography
C15.4,Middle third of esophagus,ICDO3_Topography
C15.5,Lower third of esophagus,ICDO3_Topography
C15.5,Distal third of esophagus,ICDO3_Topography
C15.8,Overlapping lesion of esophagus,ICDO3_Topography
"C15.9,""Esophagus, NOS"",ICDO3_Topography"
C16,STOMACH,ICDO3_Topography
"C16.0,""Cardia, NOS"",ICDO3_Topography"
C16.0,Gastric cardia,ICDO3_Topography
C16.0,Cardioesophageal junction,ICDO3_Topography
C16.0,Esophagogastric junction,ICDO3_Topography
C16.0,Gastroesophageal junction,ICDO3_Topography
C16.1,Fundus of stomach,ICDO3_Topography
C16.1,Gastric fundus,ICDO3_Topography
C16.2,Body of stomach,ICDO3_Topography
C16.2,Corpus of stomach,ICDO3_Topography
C16.2,Gastric corpus,ICDO3_Topography
C16.3,Gastric antrum,ICDO3_Topography
C16.3,Antrum of stomach,ICDO3_Topography
C16.3,Pyloric antrum,ICDO3_Topography
C16.4,Pylorus,ICDO3_Topography
C16.4,Pyloric canal,ICDO3_Topography
C16.4,Prepylorus,ICDO3_Topography
"C16.5,""Lesser curvature of stomach, NOS"",ICDO3_Topography"
"C16.6,""Greater curvature of stomach, NOS"",ICDO3_Topography"
C16.8,Overlapping lesion of stomach,ICDO3_Topography
"C16.8,""Anterior wall of stomach, NOS"",ICDO3_Topography"
"C16.8,""Posterior wall of stomach, NOS"",ICDO3_Topography"
"C16.9,""Stomach, NOS"",ICDO3_Topography"
"C16.9,""Gastric, NOS"",ICDO3_Topography"
C17,SMALL INTESTINE,ICDO3_Topography
C17.0,Duodenum,ICDO3_Topography
C17.1,Jejunum,ICDO3_Topography
C17.2,Ileum,ICDO3_Topography
C17.3,Meckel diverticulum,ICDO3_Topography
C17.8,Overlapping lesion of small intestine,ICDO3_Topography
"C17.9,""Small intestine, NOS"",ICDO3_Topography"
"C17.9,""Small bowel, NOS"",ICDO3_Topography"
C18,COLON,ICDO3_Topography
C18.0,Cecum,ICDO3_Topography
C18.0,Ileocecal valve,ICDO3_Topography
C18.0,Ileocecal junction,ICDO3_Topography
C18.1,Appendix,ICDO3_Topography
C18.2,Ascending colon,ICDO3_Topography
C18.2,Right colon,ICDO3_Topography
C18.3,Hepatic flexure of colon,ICDO3_Topography
C18.4,Transverse colon,ICDO3_Topography
C18.5,Splenic flexure of colon,ICDO3_Topography
C18.6,Descending colon,ICDO3_Topography
C18.6,Left colon,ICDO3_Topography
C18.7,Sigmoid colon,ICDO3_Topography
"C18.7,""Sigmoid, NOS"",ICDO3_Topography"
C18.7,Sigmoid flexure of colon,ICDO3_Topography
C18.7,Pelvic colon,ICDO3_Topography
C18.8,Overlapping lesion of colon,ICDO3_Topography
"C18.9,""Colon, NOS"",ICDO3_Topography"
C18.9,Large intestine,ICDO3_Topography
"C18.9,""Large bowel, NOS"",ICDO3_Topography"
C19,RECTOSIGMOID JUNCTION,ICDO3_Topography
C19.9,Rectosigmoid junction,ICDO3_Topography
"C19.9,""Rectosigmoid, NOS"",ICDO3_Topography"
C19.9,Rectosigmoid colon,ICDO3_Topography
C19.9,Colon and rectum,ICDO3_Topography
C19.9,Pelvirectal junction,ICDO3_Topography
C20,RECTUM,ICDO3_Topography
"C20.9,""Rectum, NOS"",ICDO3_Topography"
C20.9,Rectal ampulla,ICDO3_Topography
C21,ANUS AND ANAL CANAL,ICDO3_Topography
"C21.0,""Anus, NOS"",ICDO3_Topography"
C21.1,Anal canal,ICDO3_Topography
C21.1,Anal sphincter,ICDO3_Topography
C21.2,Cloacogenic zone,ICDO3_Topography
"C21.8,""Overlapping lesion of rectum, anus and anal canal"",ICDO3_Topography"
C21.8,Anorectal junction,ICDO3_Topography
C21.8,Anorectum,ICDO3_Topography
C22,LIVER AND INTRAHEPATIC BILE DUCTS,ICDO3_Topography
C22.0,Liver,ICDO3_Topography
"C22.0,""Hepatic, NOS"",ICDO3_Topography"
C22.1,Intrahepatic bile duct,ICDO3_Topography
C22.1,Biliary canaliculus,ICDO3_Topography
C22.1,Cholangiole,ICDO3_Topography
C23,GALLBLADDER,ICDO3_Topography
C23.9,Gallbladder,ICDO3_Topography
C24,OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT,ICDO3_Topography
C24.0,Extrahepatic bile duct,ICDO3_Topography
"C24.0,""Bile duct, NOS"",ICDO3_Topography"
"C24.0,""Biliary duct, NOS"",ICDO3_Topography"
C24.0,Choledochal duct,ICDO3_Topography
C24.0,Common bile duct,ICDO3_Topography
C24.0,Common duct,ICDO3_Topography
C24.0,Cystic bile duct,ICDO3_Topography
C24.0,Cystic duct,ICDO3_Topography
C24.0,Hepatic bile duct,ICDO3_Topography
C24.0,Hepatic duct,ICDO3_Topography
C24.0,Sphincter of Oddi,ICDO3_Topography
C24.1,Ampulla of Vater,ICDO3_Topography
C24.1,Periampullary,ICDO3_Topography
C24.8,Overlapping lesion of biliary tract,ICDO3_Topography
"C24.9,""Biliary tract, NOS"",ICDO3_Topography"
C25,PANCREAS,ICDO3_Topography
C25.0,Head of pancreas,ICDO3_Topography
C25.1,Body of pancreas,ICDO3_Topography
C25.2,Tail of pancreas,ICDO3_Topography
C25.3,Pancreatic duct,ICDO3_Topography
C25.3,Duct of Santorini,ICDO3_Topography
C25.3,Duct of Wirsung,ICDO3_Topography
C25.4,Islets of Langerhans,ICDO3_Topography
C25.4,Islands of Langerhans,ICDO3_Topography
C25.4,Endocrine pancreas,ICDO3_Topography
C25.7,Other specified parts of pancreas,ICDO3_Topography
C25.7,Neck of pancreas,ICDO3_Topography
C25.8,Overlapping lesion of pancreas,ICDO3_Topography
"C25.9,""Pancreas, NOS"",ICDO3_Topography"
C26,OTHER AND ILL-DEFINED DIGESTIVE ORGANS,ICDO3_Topography
"C26.0,""Intestinal tract, NOS"",ICDO3_Topography"
"C26.0,""Bowel, NOS"",ICDO3_Topography"
"C26.0,""Intestine, NOS"",ICDO3_Topography"
C26.8,Overlapping lesion of digestive system,ICDO3_Topography
"C26.9,""Gastrointestinal tract, NOS"",ICDO3_Topography"
"C26.9,""Alimentary tract, NOS"",ICDO3_Topography"
"C26.9,""Digestive organs, NOS"",ICDO3_Topography"
C30,NASAL CAVITY AND MIDDLE EAR,ICDO3_Topography
C30.0,Nasal cavity,ICDO3_Topography
C30.0,Internal nose,ICDO3_Topography
C30.0,Naris,ICDO3_Topography
C30.0,Nasal cartilage,ICDO3_Topography
C30.0,Nasal mucosa,ICDO3_Topography
"C30.0,""Nasal septum, NOS"",ICDO3_Topography"
C30.0,Nasal turbinate,ICDO3_Topography
C30.0,Nostril,ICDO3_Topography
C30.0,Vestibule of nose,ICDO3_Topography
C30.1,Middle ear,ICDO3_Topography
C30.1,Inner ear,ICDO3_Topography
C30.1,Auditory tube,ICDO3_Topography
C30.1,Eustachian tube,ICDO3_Topography
C30.1,Mastoid antrum,ICDO3_Topography
C30.1,Tympanic cavity,ICDO3_Topography
C31,ACCESSORY SINUSES,ICDO3_Topography
C31.0,Maxillary sinus,ICDO3_Topography
C31.0,Maxillary antrum,ICDO3_Topography
"C31.0,""Antrum, NOS"",ICDO3_Topography"
C31.1,Ethmoid sinus,ICDO3_Topography
C31.2,Frontal sinus,ICDO3_Topography
C31.3,Sphenoid sinus,ICDO3_Topography
C31.8,Overlapping lesion of sinuses accessory,ICDO3_Topography
"C31.9,""Accessory sinus, NOS"",ICDO3_Topography"
C31.9,Accessory nasal sinus,ICDO3_Topography
C31.9,Paranasal sinus,ICDO3_Topography
C32,LARYNX,ICDO3_Topography
C32.0,Glottis,ICDO3_Topography
C32.0,Intrinsic larynx,ICDO3_Topography
C32.0,Laryngeal commissure,ICDO3_Topography
"C32.0,""Vocal cord, NOS"",ICDO3_Topography"
C32.0,True vocal cord,ICDO3_Topography
C32.0,True cord,ICDO3_Topography
C32.1,Supraglottis,ICDO3_Topography
"C32.1,""Epiglottis, NOS"",ICDO3_Topography"
C32.1,Extrinsic larynx,ICDO3_Topography
C32.1,Laryngeal aspect of aryepiglottic fold,ICDO3_Topography
C32.1,Posterior surface of epiglottis,ICDO3_Topography
C32.1,Ventricular band of larynx,ICDO3_Topography
C32.1,False vocal cord,ICDO3_Topography
C32.1,False cord,ICDO3_Topography
C32.2,Subglottis,ICDO3_Topography
C32.3,Laryngeal cartilage,ICDO3_Topography
C32.3,Arytenoid cartilage,ICDO3_Topography
C32.3,Cricoid cartilage,ICDO3_Topography
C32.3,Cuneiform cartilage,ICDO3_Topography
C32.3,Thyroid cartilage,ICDO3_Topography
C32.8,Overlapping lesion of larynx,ICDO3_Topography
"C32.9,""Larynx, NOS"",ICDO3_Topography"
C33,TRACHEA,ICDO3_Topography
C33.9,Trachea,ICDO3_Topography
C34,BRONCHUS AND LUNG,ICDO3_Topography
C34.0,Main bronchus,ICDO3_Topography
C34.0,Carina,ICDO3_Topography
C34.0,Hilus of lung,ICDO3_Topography
"C34.1,""Upper lobe, lung"",ICDO3_Topography"
C34.1,Lingula of lung,ICDO3_Topography
"C34.1,""Upper lobe, bronchus"",ICDO3_Topography"
"C34.2,""Middle lobe, lung"",ICDO3_Topography"
"C34.2,""Middle lobe, bronchus"",ICDO3_Topography"
"C34.3,""Lower lobe, lung"",ICDO3_Topography"
"C34.3,""Lower lobe, bronchus"",ICDO3_Topography"
C34.8,Overlapping lesion of lung,ICDO3_Topography
"C34.9,""Lung, NOS"",ICDO3_Topography"
"C34.9,""Bronchus, NOS"",ICDO3_Topography"
C34.9,Bronchiole,ICDO3_Topography
C34.9,Bronchogenic,ICDO3_Topography
"C34.9,""Pulmonary, NOS"",ICDO3_Topography"
C37,THYMUS,ICDO3_Topography
C37.9,Thymus,ICDO3_Topography
"C38,""HEART, MEDIASTINUM, AND PLEURA"",ICDO3_Topography"
C38.0,Heart,ICDO3_Topography
C38.0,Endocardium,ICDO3_Topography
C38.0,Epicardium,ICDO3_Topography
C38.0,Myocardium,ICDO3_Topography
C38.0,Pericardium,ICDO3_Topography
C38.0,Cardiac ventricle,ICDO3_Topography
C38.0,Cardiac atrium,ICDO3_Topography
C38.1,Anterior mediastinum,ICDO3_Topography
C38.2,Posterior mediastinum,ICDO3_Topography
"C38.3,""Mediastinum, NOS"",ICDO3_Topography"
"C38.4,""Pleura, NOS"",ICDO3_Topography"
C38.4,Parietal pleura,ICDO3_Topography
C38.4,Visceral pleura,ICDO3_Topography
"C38.8,""Overlapping lesion of heart, mediastinum and pleura"",ICDO3_Topography"
C39,OTHER AND ILL-DEFINED SITES WITHIN RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS,ICDO3_Topography
"C39.0,""Upper respiratory tract, NOS"",ICDO3_Topography"
C39.8,Overlapping lesion of respiratory system and intrathoracic organs,ICDO3_Topography
C39.9,Ill-defined sites within respiratory system,ICDO3_Topography
"C39.9,""Respiratory tract, NOS"",ICDO3_Topography"
"C40,""BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS"",ICDO3_Topography"
"C40.0,""Long bones of upper limb, scapula and associated joints"",ICDO3_Topography"
C40.0,Acromioclavicular joint,ICDO3_Topography
C40.0,Bone of arm,ICDO3_Topography
C40.0,Bone of forearm,ICDO3_Topography
C40.0,Bone of shoulder,ICDO3_Topography
C40.0,Elbow joint,ICDO3_Topography
C40.0,Humerus,ICDO3_Topography
C40.0,Radius,ICDO3_Topography
C40.0,Scapula,ICDO3_Topography
C40.0,Shoulder girdle,ICDO3_Topography
C40.0,Shoulder joint,ICDO3_Topography
C40.0,Ulna,ICDO3_Topography
C40.1,Short bones of upper limb and associated joints,ICDO3_Topography
C40.1,Bone of finger,ICDO3_Topography
C40.1,Bone of hand,ICDO3_Topography
C40.1,Bone of thumb,ICDO3_Topography
C40.1,Bone of wrist,ICDO3_Topography
C40.1,Carpal bone,ICDO3_Topography
C40.1,Hand joint,ICDO3_Topography
C40.1,Metacarpal bone,ICDO3_Topography
C40.1,Phalanx of hand,ICDO3_Topography
C40.1,Wrist joint,ICDO3_Topography
C40.2,Long bones of lower limb and associated joints,ICDO3_Topography
C40.2,Bone of leg,ICDO3_Topography
C40.2,Femur,ICDO3_Topography
C40.2,Fibula,ICDO3_Topography
"C40.2,""Knee joint, NOS"",ICDO3_Topography"
C40.2,Semilunar cartilage,ICDO3_Topography
C40.2,Lateral meniscus of knee joint,ICDO3_Topography
C40.2,Medial meniscus of knee joint,ICDO3_Topography
C40.2,Tibia,ICDO3_Topography
C40.3,Short bones of lower limb and associated joints,ICDO3_Topography
C40.3,Ankle joint,ICDO3_Topography
C40.3,Bone of ankle,ICDO3_Topography
C40.3,Bone of foot,ICDO3_Topography
C40.3,Bone of heel,ICDO3_Topography
C40.3,Bone of toe,ICDO3_Topography
C40.3,Foot joint,ICDO3_Topography
C40.3,Metatarsal bone,ICDO3_Topography
C40.3,Patella,ICDO3_Topography
C40.3,Phalanx of foot,ICDO3_Topography
C40.3,Tarsal bone,ICDO3_Topography
"C40.8,""Overlapping lesion of bones, joints and articular cartilage of limbs"",ICDO3_Topography"
"C40.9,""Bone of limb, NOS"",ICDO3_Topography"
"C40.9,""Cartilage of limb, NOS"",ICDO3_Topography"
"C40.9,""Joint of limb, NOS"",ICDO3_Topography"
"C40.9,""Articular cartilage of limb, NOS"",ICDO3_Topography"
"C41,""BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES"",ICDO3_Topography"
C41.0,Bones of skull and face and associated joints,ICDO3_Topography
C41.0,Calvarium,ICDO3_Topography
C41.0,Cranial bone,ICDO3_Topography
C41.0,Ethmoid bone,ICDO3_Topography
C41.0,Facial bone,ICDO3_Topography
C41.0,Frontal bone,ICDO3_Topography
C41.0,Hyoid bone,ICDO3_Topography
C41.0,Maxilla,ICDO3_Topography
C41.0,Upper jaw bone,ICDO3_Topography
C41.0,Nasal bone,ICDO3_Topography
C41.0,Occipital bone,ICDO3_Topography
C41.0,Orbital bone,ICDO3_Topography
C41.0,Parietal bone,ICDO3_Topography
"C41.0,""Skull, NOS"",ICDO3_Topography"
C41.0,Sphenoid bone,ICDO3_Topography
C41.0,Temporal bone,ICDO3_Topography
C41.0,Zygomatic bone,ICDO3_Topography
C41.1,Mandible,ICDO3_Topography
"C41.1,""Jaw bone, NOS"",ICDO3_Topography"
C41.1,Lower jaw bone,ICDO3_Topography
C41.1,Temporomandibular joint,ICDO3_Topography
C41.2,Vertebral column,ICDO3_Topography
C41.2,Atlas,ICDO3_Topography
C41.2,Axis,ICDO3_Topography
C41.2,Bone of back,ICDO3_Topography
C41.2,Intervertebral disc,ICDO3_Topography
C41.2,Nucleus pulposus,ICDO3_Topography
C41.2,Spinal column,ICDO3_Topography
C41.2,Spine,ICDO3_Topography
C41.2,Vertebra,ICDO3_Topography
"C41.3,""Rib, sternum, clavicle and associated joints"",ICDO3_Topography"
C41.3,Costal cartilage,ICDO3_Topography
C41.3,Costovertebral joint,ICDO3_Topography
C41.3,Sternocostal joint,ICDO3_Topography
"C41.4,""Pelvic bones, sacrum, coccyx and associated joints"",ICDO3_Topography"
C41.4,Acetabulum,ICDO3_Topography
C41.4,Bone of hip,ICDO3_Topography
C41.4,Coccyx,ICDO3_Topography
C41.4,Hip joint,ICDO3_Topography
C41.4,Ilium,ICDO3_Topography
C41.4,Innominate bone,ICDO3_Topography
C41.4,Ischium,ICDO3_Topography
C41.4,Pelvic bone,ICDO3_Topography
C41.4,Pubic bone,ICDO3_Topography
C41.4,Sacrum,ICDO3_Topography
C41.4,Symphysis pubis,ICDO3_Topography
"C41.8,""Overlapping lesion of bones, joints and articular cartilage"",ICDO3_Topography"
"C41.9,""Bone, NOS"",ICDO3_Topography"
"C41.9,""Joint, NOS"",ICDO3_Topography"
"C41.9,""Cartilage, NOS"",ICDO3_Topography"
C41.9,Skeletal bone,ICDO3_Topography
"C41.9,""Articular cartilage, NOS"",ICDO3_Topography"
C42,HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS,ICDO3_Topography
C42.0,Blood,ICDO3_Topography
C42.1,Bone marrow,ICDO3_Topography
C42.2,Spleen,ICDO3_Topography
"C42.3,""Reticuloendothelial system, NOS"",ICDO3_Topography"
"C42.4,""Hematopoietic system, NOS"",ICDO3_Topography"
C44,SKIN,ICDO3_Topography
"C44.0,""Skin of lip, NOS"",ICDO3_Topography"
C44.0,Skin of lower lip,ICDO3_Topography
C44.0,Skin of upper lip,ICDO3_Topography
C44.1,Eyelid,ICDO3_Topography
"C44.1,""Lid, NOS"",ICDO3_Topography"
C44.1,Palpebra,ICDO3_Topography
"C44.1,""Canthus, NOS"",ICDO3_Topography"
C44.1,Inner canthus,ICDO3_Topography
C44.1,Lower lid,ICDO3_Topography
C44.1,Meibomian gland,ICDO3_Topography
C44.1,Outer canthus,ICDO3_Topography
C44.1,Upper lid,ICDO3_Topography
C44.2,External ear,ICDO3_Topography
"C44.2,""Auricle, NOS"",ICDO3_Topography"
C44.2,Pinna,ICDO3_Topography
C44.2,Ceruminal gland,ICDO3_Topography
C44.2,Concha,ICDO3_Topography
"C44.2,""Ear, NOS"",ICDO3_Topography"
C44.2,Ear lobule,ICDO3_Topography
C44.2,Earlobe,ICDO3_Topography
C44.2,External auditory canal,ICDO3_Topography
"C44.2,""Auditory canal, NOS"",ICDO3_Topography"
"C44.2,""Auricular canal, NOS"",ICDO3_Topography"
C44.2,External auricular canal,ICDO3_Topography
C44.2,Ear canal,ICDO3_Topography
C44.2,External auditory meatus,ICDO3_Topography
C44.2,Helix,ICDO3_Topography
C44.2,Skin of auricle,ICDO3_Topography
"C44.2,""Skin of ear, NOS"",ICDO3_Topography"
C44.2,Tragus,ICDO3_Topography
C44.3,Skin of other and unspecified parts of face,ICDO3_Topography
C44.3,Skin of cheek,ICDO3_Topography
C44.3,Skin of chin,ICDO3_Topography
C44.3,Skin of face,ICDO3_Topography
