LEVEL,CODE,DISPLAY,VERSION
,O24,Diabetes mellitus in pregnancy,ICD_MM
,O24.4,Diabetes mellitus arising in pregnancy,ICD_MM
,O26.6,"Liver disorders in pregnancy, childbirth and the puerperium",ICD_MM
,O26.9,"Pregnancy-related condition, unspecified",ICD_MM
,O71,Other obstretric trauma,
,O71.2,Postpartum inversion of uterus,ICD_MM
,O71.5,Other obstetric injury to pelvic organs,ICD_MM
,O71.6,Obstetric damage to pelvic joints and ligaments,ICD_MM
,O71.8,Other specified obstetric trauma,ICD_MM
,O71.9,"Obstetric trauma, unspecified",ICD_MM
,O73,"Retained placenta and membranes, without haemorrhage",ICD_MM
,O73.0,Retained placenta without haemorrhage,ICD_MM
,O73.1,"Retained portions of placenta and membranes, without haemorrhage",ICD_MM
,O75.4,Other complications of obstetric surgery and procedures,ICD_MM
,O75.8,Other specified complications of labour and delivery,ICD_MM
,O75.9,"Complication of labour and delivery, unspecified",ICD_MM
,O87,Venous complications in the puerperium,ICD_MM
,O87.1,Deep phlebothrombosis in the puerperium,ICD_MM
,O87.3,Cerebral venous thrombosis in the puerperium,ICD_MM
,O87.9,"Venous complication in the puerperium, unspecified",ICD_MM
,O88,Obstetric embolism,ICD_MM
,O88.0,Obstetric air embolism,ICD_MM
,O88.1,Amniotic fluid embolism,ICD_MM
,O88.2,Obstetric blood-clot embolism,ICD_MM
,O88.3,Obstetric pyaemic and septic embolism,ICD_MM
,O88.8,Other obstetric embolism,ICD_MM
,O90,"Complications of the puerperium, not elsewhere classified",ICD_MM
,O90.0,Disruption of caesarean section wound,ICD_MM
,O90.1,Disruption of perineal obstetric wound,ICD_MM
,O90.2,Haematoma of obstetric wound,ICD_MM
,O90.3,Cardiomyopathy in the puerperium,ICD_MM
,O90.4,Postpartum acute renal failure,ICD_MM
,O90.5,Postpartum thyroiditis,ICD_MM
,O90.8,"Other complications of the puerperium, not elsewhere classified",ICD_MM
,O90.9,"Complication of the puerperium, unspecified",ICD_MM
,GROUP-6,Unanticipated complications of management,
,O29,Complications of anaesthesia during pregnancy,ICD_MM
,O29.0,Pulmonary complications of anaesthesia during pregnancy,ICD_MM
,O29.1,Cardiac complications of anaesthesia during pregnancy,ICD_MM
,O29.2,Central nervous system complications of anaesthesia during pregnancy,ICD_MM
,O29.3,Toxic reaction to local anaesthesia during pregnancy,ICD_MM
,O29.5,Other complications of spinal and epidural anaesthesia during pregnancy,ICD_MM
,O29.6,Failed or difficult intubation during pregnancy,ICD_MM
,O29.8,Other complications of anaesthesia during pregnancy,ICD_MM
,O29.9,"Complication of anaesthesia during pregnancy, unspecified",ICD_MM
,O74,Complications of anaesthesia during labour and delivery,ICD_MM
,O74.0,Aspiration pneumonitis due to anaesthesia during labour and delivery,ICD_MM
,O74.1,Other pulmonary complications of anaesthesia during labour and delivery,ICD_MM
,O74.2,Cardiac complications of anaesthesia during labour and delivery,ICD_MM
,O74.3,Central nervous system complications of anaesthesia during labour and delivery,ICD_MM
,O74.4,Toxic reaction to local anaesthesia during labour and delivery,ICD_MM
,O74.6,Other complications of spinal and epidural anaesthesia during labour and delivery,ICD_MM
,O74.7,Failed or difficult intubation during labour and delivery,ICD_MM
,O74.8,Other complications of anaesthesia during labour and delivery,ICD_MM
,O74.9,"Complication of anaesthesia during labour and delivery, unspecified",ICD_MM
,O89,Complications of anaesthesia during the puerperium,ICD_MM
,O89.0,Pulmonary complications of anaesthesia during the puerperium,ICD_MM
,O89.1,Cardiac complications of anaesthesia during the puerperium,ICD_MM
,O89.2,Central nervous system complications of anaesthesia during the puerperium,ICD_MM
,O89.3,Toxic reaction to local anaesthesia during the puerperium,ICD_MM
,O89.5,Other complications of spinal and epidural anaesthesia during the puerperium,ICD_MM
,O89.6,Failed or difficult intubation during the puerperium,ICD_MM
,O89.8,Other complications of anaesthesia during the puerperium,ICD_MM
,O89.9,"Complication of anaesthesia during the puerperium, unspecified",ICD_MM
,GROUP-7,Non-obstetric complications,
,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.0,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.1,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.2,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.3,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.4,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",ICD_MM
,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the Puerperium",ICD_MM
,O24.0,"Pre-existing diabetes mellitus, insulin-dependent",ICD_MM
,O24.1,"Pre-existing diabetes mellitus, non-insulin-dependent",ICD_MM
,O24.2,Pre-existing malnutrition-related diabetes mellitus,ICD_MM
,O24.3,"Pre-existing diabetes mellitus, unspecified",ICD_MM
,O24.9,"Diabetes mellitus in pregnancy, unspecified",ICD_MM
,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.0,"Tuberculosis complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.1,"Syphilis complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.2,"Gonorrhoea complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.3,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.4,"Viral hepatitis complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.5,"Other viral diseases complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.6,"Protozoal diseases complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.7,"Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.8,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium",ICD_MM
,O98.9,"Unspecified maternal infectious or parasitic disease complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.0,"Anaemia complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.1,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.2,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.3,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.4,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.5,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.6,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.7,"Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium",ICD_MM
,O99.8,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",ICD_MM
Codes for common indirect causes of maternal death,,,ICD_MM
Diseases of the nervous system,,,ICD_MM
,G40,Epilepsy,ICD_MM
,G40.0,Localization-related(focal)(partial)idiopathic epilepsy / epileptic syndromes seizures localized onset,ICD_MM
,G40.1,Localization-related(focal)(partial)idiopathic epilepsy / epileptic syndromes with simple partial seizures,ICD_MM
,G40.2,Localization-related(focal)(partial)idiopathic epilepsy / epileptic syndromes with complex partial seizures,ICD_MM
,G40.3,Generalized idiopathic epilepsy and epileptic syndromes,ICD_MM
,G40.4,Other generalized epilepsy and epileptic syndromes,ICD_MM
,G40.5,Special epileptic syndromes,ICD_MM
,G40.6,"Grand mal seizures, unspecified (with or without petit mal)",ICD_MM
,G40.7,"Petit mal, unspecified, without grand mal seizures",ICD_MM
,G40.8,Other epilepsy,ICD_MM
,G40.9,"Epilepsy, unspecified",ICD_MM
Diseases of the circulatory system,,,ICD_MM
,I09,Other rheumatic heart diseases,ICD_MM
,I09.0,Rheumatic myocarditis,ICD_MM
,I09.1,"Rheumatic diseases of endocardium, valve unspecified",ICD_MM
,I09.2,Chronic rheumatic pericarditis,ICD_MM
,I09.8,Other specified rheumatic heart diseases,ICD_MM
,I09.9,"Rheumatic heart disease, unspecified",ICD_MM
,I33,Acute and subacute endocarditis,ICD_MM
,I33.0,Acute and subacute infective endocarditis,ICD_MM
,I33.9,"Acute endocarditis, unspecified",ICD_MM
,T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts",ICD_MM
,T82.0,Mechanical complication of heart valve prosthesis,ICD_MM
,T82.1,Mechanical complication of cardiac electronic device,ICD_MM
,T82.2,Mech complication of coronary artery bypass and valve grafts,ICD_MM
,T82.3,Mechanical complication of other vascular grafts,ICD_MM
,T82.4,Mechanical complication of vascular dialysis catheter,ICD_MM
,T82.5,Mechanical complication of other cardiac and vascular devices and implants,ICD_MM
,T82.6,Infection and inflammatory reaction due to cardiac valve prosthesis,ICD_MM
,T82.7,"Infection and inflammatory reaction due other cardiac and vascular devices, implant and grafts",ICD_MM
,T82.8,"Other complications of cardic and vascular prosthetic devices, implants and grafts",ICD_MM
,T82.9,"Unspecified complications of cardiac and vascular prosthetic devices, implants and grafts",ICD_MM
,Q20,Congenital malformations of cardiac chambers and connections,ICD_MM
,Q20.0,Common arterial trunk,ICD_MM
,Q20.1,Double outlet right ventricle,ICD_MM
,Q20.2,Double outlet left ventricle,ICD_MM
,Q20.3,Discordant ventriculoarterial connection,ICD_MM
,Q20.4,Double inlet ventricle,ICD_MM
,Q20.5,Discordant atrioventricular connection,ICD_MM
,Q20.6,Isomerism of atrial appendages,ICD_MM
